	Movie	Review	Predicted
90	Her	"OK, I don't know how to say this without sounding like I've gone around the bend, but barring some thoughts I haven't contemplated, and I've always steered away from saying something is my all time favorite, but this may be it. I've never been that impressed with Spike Jonze films before, but this one not only touched my soul, it enunciated things that I've kept pretty close to my chest.

I was looking forward to a good film, and the first half/two-thirds of it were about what I expected--exce"	0
91	Jesus Camp	Probably the most disturbing documentary I have ever seen,America and the world are in trouble when there are people like this in such high numbers practising this insanity.These people make Charles Manson look sensible.	2
92	Magnolia	PTA is a master of great pacing. People compare this to some of Altman's stuff (Nashville, Short Cuts) but Magnolia manages to get me to care about almost all of the characters and keep me interested during its lengthy runtime, something that Altman's sloppy ensemble pieces couldn't do.	2
93	Star Wars: Episode III - Revenge of the Sith	I'm so confused. Everyone says it's better than the other two, yet I see the exact same terrible writing, poor direction and bombastic special effects. Fuck George Lucas.	0
94	Star Wars: Episode VII - The Force Awakens	It is so rare that you run into a movie that garners such high personal expectations, and on leaving the theatre, your dominant thought is, That was everything I wanted in this movie. The Force Awakens is everything I wanted it to be: an homage to the franchise's roots (some will undoubtedly argue that as re-hash/gross pandering), and a gateway to the next generation (and proof more than ever that JJ's got BALLS). As close to pitch-perfect as I could have ever hoped it to be. Literal chills.	2
95	The Seventh Seal	I don't know what's more impressive: how much Bergman has to say, or the fact that he can say it in 90 minutes.	2
96	Sweet Smell of Success	This movie is full of razor sharp dialogue, and Curtis and Lancaster sell it beautifully. Never have I seen two characters fight to see who can be an even bigger scumbag. 	2
97	Coyote Ugly	When I asked a few years ago, to some friends, what their favourite movie was, they always answered: Coyote Ugly. I watched it, and I hated it. What a shitload of fuck	0
98	Goodfellas	Scorsese's most personal film--these streets must be close to what asthmatic little Marty saw outside his childhood window--and made at the height of his powers.  Excelling at both montage and camera movement, Scorsese has the gift of knowing when each technique is most appropriate.  Gangster life as depicted here may be romanticized, but the gangsters themselves are not.  They are psychopaths, and Scorsese makes sure his audience knows it.	1
99	There Will Be Blood	Just perfect. Directing, cinematography, story, MUSIC, peformances, message, environment. All in all, just great movie. Sure Plainview was an unpleasant man, but how tormented he was. No real human contact. Man, how he tried to break his spell. The preacher was the only one who got the most heart of him. Pretty similar character opposites (or are they one and same character?) than in No Country for Old Men.	1
100	Looper	Back to the Future promised hoverboards in 30 years.  30 years later, Looper promises hover-cycles in 30 years.  GUYS.  Let's be real.  Not gonna happen.  That being said, the wireless ear bud technology, that's going to be here in time for Christmas next year.  In summary: I'm a hover-vehicle pessimist, but an ear bud optimist.	0
101	The Revenant	Less of a movie and more of a cinematic feat, The Revenant is beautiful in aesthetics and execution. Sporting some of the finest cinematography and most intricate direction I have ever seen, Inarritu leads Hardy, DiCaprio, Gleeson and Poulter for some amazing performances, acting out a brutal and rugged script. It's rough yet beautiful, brutal yet haunting. The Revenant is one that will stick with you.	2
102	Saving Private Ryan	If you ever see one WWII film, this should be it. Nothing comes close to defining the horror, chaos and soul-destroying emotions of war. Spielberg has provided a intensely brutal realistic outlook, gripping plotline and fantastic production values. This coupled with consistently stunning acting from everyone involved (yes, even Vin Diesel) brings all the varied personalities of the characters to life, making you genuinely care and feel the emotional weight when individuals are lost. Awesome.	2
103	Avatar	The effects are good, tactile even, but very gaudy and trendy-looking. The plot competently exhibits hallmarks of the adventure genre but it's hardly a meaningful indictment of imperialism; it is just money, material, and man-hours expended to the end of assuaging white guilt. The film's purposes require an /artist/ at the helm, and Cameron is merely a good craftsman. Avatar will deservedly fade with time; its legacy will be that of Fantastic Voyage, not Metropolis.	2
104	Exit Through the Gift Shop	I am beginning to regret spending $50,000 on my Mr. Brainwash collection.	0
105	Star Wars: Episode VII - The Force Awakens	The only reason people are eating this up is deep down they are watching a rehashed and updated version of A New Hope, yet they fool themselves into thinking this movie is a step forward. I have no faith in JJ because he likes to play it safe (but he calls it paying homage, remember Star Trek?) and makes sure the the movie won't flop. I'm pretty sure he is out of ideas, and I have no hope for the next installment. 	2
106	Home Alone 4	I haven't seen this movie, but I hate it anyway because the kid on the box is a douchebag.	1
107	Avengers: Infinity War	Such a gigantic movie with so many characters & so much going on, it’s hard to talk about without spoilers. I really enjoyed it. It was continually exciting to see all these characters returning & some meeting each other for the 1st time. And you know who’s really great in this? Thanos. If you’re already invested in these movies, I’m pretty sure you’re going to enjoy it. I don’t know if it’s the best one yet, but it’s up there, & certainly the most impressive, in a lot of ways.	2
108	District 9	It boggles the mind how a movie made for $30 million can produce what  many gigantic blockbusting titles fail to achieve.  The acting was spot on, writing was gripping, and the action tight.  We need to stay away from big studios more often apparently.  Oh, and someone is kicking themselves for not giving this guy a chance on Halo, actually they likely lost thier job. 	2
